DEBUG - 2016-10-17 09:15:42.298; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-17 09:15:42.301; com.avon.hr.expression.accounting.MyAccountingVisitor; visitReturnStatement
DEBUG - 2016-10-17 09:15:42.338; com.avon.hr.expression.accounting.MyAccountingVisitor; visitStart
DEBUG - 2016-10-17 09:15:42.338; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-17 09:15:42.339; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-17 09:15:42.344; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-17 09:15:42.381; com.avon.hr.expression.accounting.MyAccountingVisitor; visitStart
DEBUG - 2016-10-17 09:15:42.384; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-17 09:15:42.385; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-17 09:15:42.388; com.avon.hr.expression.accounting.MyAccountingVisitor; visitReturnStatement
DEBUG - 2016-10-17 09:15:42.451; com.avon.hr.expression.accounting.MyAccountingVisitor; visitStart
DEBUG - 2016-10-17 09:15:42.452; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-17 09:17:44.097; com.avon.hr.expression.accounting.MyAccountingVisitor; visitStart
DEBUG - 2016-10-17 09:17:44.110; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-17 09:17:44.116; com.avon.hr.expression.accounting.MyAccountingVisitor; visitReturnStatement
DEBUG - 2016-10-17 09:17:44.134; com.avon.hr.expression.accounting.MyAccountingVisitor; visitStart
DEBUG - 2016-10-17 09:17:44.136; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-17 09:17:44.141; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-17 09:17:44.142; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-17 09:17:44.143; com.avon.hr.expression.accounting.MyAccountingVisitor; visitReturnStatement
DEBUG - 2016-10-17 09:17:44.167; com.avon.hr.expression.accounting.MyAccountingVisitor; visitStart
DEBUG - 2016-10-17 09:17:44.172; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-17 09:17:44.173; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-17 09:17:44.174; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-17 09:17:44.177; com.avon.hr.expression.accounting.MyAccountingVisitor; visitReturnStatement
DEBUG - 2016-10-17 09:17:44.187; com.avon.hr.expression.accounting.MyAccountingVisitor; visitStart
DEBUG - 2016-10-17 09:17:44.189; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-17 09:17:44.192; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-17 09:17:44.195; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-17 09:17:44.197; com.avon.hr.expression.accounting.MyAccountingVisitor; visitReturnStatement
